Row,multiply_type,nr_c,dot_product_length,num_vfops,load_left_block_throughput,load_left_throughput_bottlenck,load_left_num_uops,operate_block_throughput,operate_throughput_bottlenck,operate_num_uops
cmat_mulx_avx_nr_c_2_dot_product_length_2,cmat_mulx_avx,2,2,14,4.95,Backend,10,7.58,Backend,28
cmat_mulx_avx_nr_c_2_dot_product_length_3,cmat_mulx_avx,2,3,22,10,Backend,26,12,Backend,45
cmat_mulx_avx_nr_c_2_dot_product_length_4,cmat_mulx_avx,2,4,30,16.95,Backend,44,16.53,Backend,63
cmat_mulx_avx_nr_c_2_dot_product_length_5,cmat_mulx_avx,2,5,38,21,Backend,62,21,Backend,81
cmat_mulx_avx_nr_c_2_dot_product_length_6,cmat_mulx_avx,2,6,46,25.11,Backend,74,26,Backend,108
cmat_mulx_avx_nr_c_2_dot_product_length_7,cmat_mulx_avx,2,7,54,29.21,Backend,86,32,Backend,135
cmat_mulx_avx_nr_c_2_dot_product_length_8,cmat_mulx_avx,2,8,62,36.67,Backend,98,40,Backend,161
cmat_mulx_avx_nr_c_2_dot_product_length_9,cmat_mulx_avx,2,9,70,42,Backend,110,45,Backend,189
cmat_mulx_avx_nr_c_2_dot_product_length_10,cmat_mulx_avx,2,10,78,46,Backend,122,52,Backend,215
cmat_mulx_avx_nr_c_2_dot_product_length_11,cmat_mulx_avx,2,11,86,50,Backend,134,59,Backend,241
cmat_mulx_avx_nr_c_2_dot_product_length_12,cmat_mulx_avx,2,12,94,54,Backend,146,64,Backend,268
cmat_mulx_avx_nr_c_2_dot_product_length_13,cmat_mulx_avx,2,13,102,58,Backend,158,72,Backend,295
cmat_mulx_avx_nr_c_2_dot_product_length_14,cmat_mulx_avx,2,14,110,62,Backend,170,78,Backend,320
cmat_mulx_avx_nr_c_2_dot_product_length_15,cmat_mulx_avx,2,15,118,66,Backend,182,85,Backend,346
cmat_mulx_avx_nr_c_2_dot_product_length_16,cmat_mulx_avx,2,16,126,76,Backend,194,92,Backend,376
cmat_mulx_avx_nr_c_2_dot_product_length_17,cmat_mulx_avx,2,17,134,74,Backend,206,100.53,Backend,404
cmat_mulx_avx_nr_c_2_dot_product_length_18,cmat_mulx_avx,2,18,142,78,Backend,218,108,Backend,431
cmat_mulx_avx_nr_c_2_dot_product_length_19,cmat_mulx_avx,2,19,150,82,Backend,230,117,Backend,463
cmat_mulx_avx_nr_c_2_dot_product_length_20,cmat_mulx_avx,2,20,158,86,Backend,242,125,Backend,495
cmat_mulx_avx_nr_c_3_dot_product_length_2,cmat_mulx_avx,3,2,21,9.21,Backend,21,11.21,Backend,41
cmat_mulx_avx_nr_c_3_dot_product_length_3,cmat_mulx_avx,3,3,33,17,Backend,45,17.47,Backend,65
cmat_mulx_avx_nr_c_3_dot_product_length_4,cmat_mulx_avx,3,4,45,24.53,Backend,69,23.47,Backend,89
cmat_mulx_avx_nr_c_3_dot_product_length_5,cmat_mulx_avx,3,5,57,31.53,Backend,93,29,Backend,113
cmat_mulx_avx_nr_c_3_dot_product_length_6,cmat_mulx_avx,3,6,69,38,Backend,111,37.05,Backend,149
cmat_mulx_avx_nr_c_3_dot_product_length_7,cmat_mulx_avx,3,7,81,46.05,Backend,129,47.05,Backend,186
cmat_mulx_avx_nr_c_3_dot_product_length_8,cmat_mulx_avx,3,8,93,55,Backend,147,55.47,Backend,222
cmat_mulx_avx_nr_c_3_dot_product_length_9,cmat_mulx_avx,3,9,105,66,Backend,165,61.95,Backend,259
cmat_mulx_avx_nr_c_3_dot_product_length_10,cmat_mulx_avx,3,10,117,72,Backend,183,72,Backend,294
cmat_mulx_avx_nr_c_3_dot_product_length_11,cmat_mulx_avx,3,11,129,78,Backend,201,82,Backend,333
cmat_mulx_avx_nr_c_3_dot_product_length_12,cmat_mulx_avx,3,12,141,84,Backend,219,89.89,Backend,368
cmat_mulx_avx_nr_c_3_dot_product_length_13,cmat_mulx_avx,3,13,153,90,Backend,237,98,Backend,405
cmat_mulx_avx_nr_c_3_dot_product_length_14,cmat_mulx_avx,3,14,165,96,Backend,255,106.47,Backend,435
cmat_mulx_avx_nr_c_3_dot_product_length_15,cmat_mulx_avx,3,15,177,102,Backend,273,118,Backend,475
cmat_mulx_avx_nr_c_3_dot_product_length_16,cmat_mulx_avx,3,16,189,114,Backend,291,127,Backend,509
cmat_mulx_avx_nr_c_3_dot_product_length_17,cmat_mulx_avx,3,17,201,114,Backend,309,138,Backend,553
cmat_mulx_avx_nr_c_3_dot_product_length_18,cmat_mulx_avx,3,18,213,120,Backend,327,149,Backend,592
cmat_mulx_avx_nr_c_3_dot_product_length_19,cmat_mulx_avx,3,19,225,126,Backend,345,158.95,Backend,630
cmat_mulx_avx_nr_c_3_dot_product_length_20,cmat_mulx_avx,3,20,237,132,Backend,363,172.53,Backend,675
cmat_mulx_avx_nr_c_4_dot_product_length_2,cmat_mulx_avx,4,2,28,13.53,Backend,34,14.68,Backend,55
cmat_mulx_avx_nr_c_4_dot_product_length_3,cmat_mulx_avx,4,3,44,23.05,Backend,64,23,Backend,85
cmat_mulx_avx_nr_c_4_dot_product_length_4,cmat_mulx_avx,4,4,60,34.53,Backend,94,31,Backend,115
cmat_mulx_avx_nr_c_4_dot_product_length_5,cmat_mulx_avx,4,5,76,42,Backend,124,40,Backend,145
cmat_mulx_avx_nr_c_4_dot_product_length_6,cmat_mulx_avx,4,6,92,51,Backend,148,48.05,Backend,190
cmat_mulx_avx_nr_c_4_dot_product_length_7,cmat_mulx_avx,4,7,108,62,Backend,172,60,Backend,235
cmat_mulx_avx_nr_c_4_dot_product_length_8,cmat_mulx_avx,4,8,124,73.53,Backend,196,69,Backend,280
cmat_mulx_avx_nr_c_4_dot_product_length_9,cmat_mulx_avx,4,9,140,84,Backend,220,82,Backend,325
cmat_mulx_avx_nr_c_4_dot_product_length_10,cmat_mulx_avx,4,10,156,92,Backend,244,91,Backend,368
cmat_mulx_avx_nr_c_4_dot_product_length_11,cmat_mulx_avx,4,11,172,100,Backend,268,101,Backend,415
cmat_mulx_avx_nr_c_4_dot_product_length_12,cmat_mulx_avx,4,12,188,108,Backend,292,112,Backend,460
cmat_mulx_avx_nr_c_4_dot_product_length_13,cmat_mulx_avx,4,13,204,116,Backend,316,123,Backend,503
cmat_mulx_avx_nr_c_4_dot_product_length_14,cmat_mulx_avx,4,14,220,124,Backend,340,136,Backend,550
cmat_mulx_avx_nr_c_4_dot_product_length_15,cmat_mulx_avx,4,15,236,132,Backend,364,147,Backend,593
cmat_mulx_avx_nr_c_4_dot_product_length_16,cmat_mulx_avx,4,16,252,152,Backend,388,160.47,Backend,642
cmat_mulx_avx_nr_c_4_dot_product_length_17,cmat_mulx_avx,4,17,268,148,Backend,412,174.53,Backend,694
cmat_mulx_avx_nr_c_4_dot_product_length_18,cmat_mulx_avx,4,18,284,156,Backend,436,189,Backend,743
cmat_mulx_avx_nr_c_4_dot_product_length_19,cmat_mulx_avx,4,19,300,164,Backend,460,202,Backend,794
cmat_mulx_avx_nr_c_4_dot_product_length_20,cmat_mulx_avx,4,20,316,172,Backend,484,218.47,Backend,854
cmat_mulx_avx_nr_c_5_dot_product_length_2,cmat_mulx_avx,5,2,35,18,Backend,47,18.26,Backend,69
cmat_mulx_avx_nr_c_5_dot_product_length_3,cmat_mulx_avx,5,3,55,31.05,Backend,83,28,Backend,105
cmat_mulx_avx_nr_c_5_dot_product_length_4,cmat_mulx_avx,5,4,75,42,Backend,119,39,Backend,141
cmat_mulx_avx_nr_c_5_dot_product_length_5,cmat_mulx_avx,5,5,95,52.53,Backend,155,49,Backend,177
cmat_mulx_avx_nr_c_5_dot_product_length_6,cmat_mulx_avx,5,6,115,64,Backend,185,60.58,Backend,231
cmat_mulx_avx_nr_c_5_dot_product_length_7,cmat_mulx_avx,5,7,135,78,Backend,215,74.05,Backend,285
cmat_mulx_avx_nr_c_5_dot_product_length_8,cmat_mulx_avx,5,8,155,91.47,Backend,245,85.95,Backend,339
cmat_mulx_avx_nr_c_5_dot_product_length_9,cmat_mulx_avx,5,9,175,108,Backend,275,100.05,Backend,393
cmat_mulx_avx_nr_c_5_dot_product_length_10,cmat_mulx_avx,5,10,195,118,Backend,305,112,Backend,445
cmat_mulx_avx_nr_c_5_dot_product_length_11,cmat_mulx_avx,5,11,215,128,Backend,335,122.47,Backend,501
cmat_mulx_avx_nr_c_5_dot_product_length_12,cmat_mulx_avx,5,12,235,138,Backend,365,136.42,Backend,554
cmat_mulx_avx_nr_c_5_dot_product_length_13,cmat_mulx_avx,5,13,255,148,Backend,395,148.42,Backend,608
cmat_mulx_avx_nr_c_5_dot_product_length_14,cmat_mulx_avx,5,14,275,158,Backend,425,163.53,Backend,663
cmat_mulx_avx_nr_c_5_dot_product_length_15,cmat_mulx_avx,5,15,295,168,Backend,455,178,Backend,715
cmat_mulx_avx_nr_c_5_dot_product_length_16,cmat_mulx_avx,5,16,315,190,Backend,485,194.47,Backend,775
cmat_mulx_avx_nr_c_5_dot_product_length_17,cmat_mulx_avx,5,17,335,188,Backend,515,211,Backend,839
cmat_mulx_avx_nr_c_5_dot_product_length_18,cmat_mulx_avx,5,18,355,198,Backend,545,229.47,Backend,901
cmat_mulx_avx_nr_c_5_dot_product_length_19,cmat_mulx_avx,5,19,375,208,Backend,575,246,Backend,961
cmat_mulx_avx_nr_c_5_dot_product_length_20,cmat_mulx_avx,5,20,395,218,Backend,605,266,Backend,1033
cmat_mulx_avx_nr_c_6_dot_product_length_2,cmat_mulx_avx,6,2,42,22.47,Backend,60,21.37,Backend,83
cmat_mulx_avx_nr_c_6_dot_product_length_3,cmat_mulx_avx,6,3,66,36,Backend,102,33.53,Backend,125
cmat_mulx_avx_nr_c_6_dot_product_length_4,cmat_mulx_avx,6,4,90,52,Backend,144,46,Backend,167
cmat_mulx_avx_nr_c_6_dot_product_length_5,cmat_mulx_avx,6,5,114,63,Backend,186,59,Backend,209
cmat_mulx_avx_nr_c_6_dot_product_length_6,cmat_mulx_avx,6,6,138,77,Backend,222,71,Backend,272
cmat_mulx_avx_nr_c_6_dot_product_length_7,cmat_mulx_avx,6,7,162,94,Backend,258,88,Backend,335
cmat_mulx_avx_nr_c_6_dot_product_length_8,cmat_mulx_avx,6,8,186,110,Backend,294,102,Backend,398
cmat_mulx_avx_nr_c_6_dot_product_length_9,cmat_mulx_avx,6,9,210,126,Backend,330,117,Backend,461
cmat_mulx_avx_nr_c_6_dot_product_length_10,cmat_mulx_avx,6,10,234,138,Backend,366,130,Backend,522
cmat_mulx_avx_nr_c_6_dot_product_length_11,cmat_mulx_avx,6,11,258,150,Backend,402,144,Backend,585
cmat_mulx_avx_nr_c_6_dot_product_length_12,cmat_mulx_avx,6,12,282,162,Backend,438,160,Backend,650
cmat_mulx_avx_nr_c_6_dot_product_length_13,cmat_mulx_avx,6,13,306,174,Backend,474,175,Backend,712
cmat_mulx_avx_nr_c_6_dot_product_length_14,cmat_mulx_avx,6,14,330,186,Backend,510,192,Backend,774
cmat_mulx_avx_nr_c_6_dot_product_length_15,cmat_mulx_avx,6,15,354,198,Backend,546,208,Backend,835
cmat_mulx_avx_nr_c_6_dot_product_length_16,cmat_mulx_avx,6,16,378,228,Backend,582,228.47,Backend,909
cmat_mulx_avx_nr_c_6_dot_product_length_17,cmat_mulx_avx,6,17,402,222,Backend,618,248,Backend,980
cmat_mulx_avx_nr_c_6_dot_product_length_18,cmat_mulx_avx,6,18,426,234,Backend,654,269.53,Backend,1054
cmat_mulx_avx_nr_c_6_dot_product_length_19,cmat_mulx_avx,6,19,450,246,Backend,690,288.53,Backend,1128
cmat_mulx_avx_nr_c_6_dot_product_length_20,cmat_mulx_avx,6,20,474,258,Backend,726,313,Backend,1210
cmat_mulx_avx_nr_c_7_dot_product_length_2,cmat_mulx_avx,7,2,49,27,Backend,73,25,Backend,97
cmat_mulx_avx_nr_c_7_dot_product_length_3,cmat_mulx_avx,7,3,77,42.58,Backend,121,39.47,Backend,145
cmat_mulx_avx_nr_c_7_dot_product_length_4,cmat_mulx_avx,7,4,105,59,Backend,169,54.05,Backend,193
cmat_mulx_avx_nr_c_7_dot_product_length_5,cmat_mulx_avx,7,5,133,73.53,Backend,217,69.05,Backend,241
cmat_mulx_avx_nr_c_7_dot_product_length_6,cmat_mulx_avx,7,6,161,90,Backend,259,84,Backend,313
cmat_mulx_avx_nr_c_7_dot_product_length_7,cmat_mulx_avx,7,7,189,110,Backend,301,102.47,Backend,385
cmat_mulx_avx_nr_c_7_dot_product_length_8,cmat_mulx_avx,7,8,217,128.53,Backend,343,117.53,Backend,457
cmat_mulx_avx_nr_c_7_dot_product_length_9,cmat_mulx_avx,7,9,245,150,Backend,385,134.53,Backend,529
cmat_mulx_avx_nr_c_7_dot_product_length_10,cmat_mulx_avx,7,10,273,164,Backend,427,150.05,Backend,599
cmat_mulx_avx_nr_c_7_dot_product_length_11,cmat_mulx_avx,7,11,301,178,Backend,469,166,Backend,673
cmat_mulx_avx_nr_c_7_dot_product_length_12,cmat_mulx_avx,7,12,329,192,Backend,511,184.89,Backend,745
cmat_mulx_avx_nr_c_7_dot_product_length_13,cmat_mulx_avx,7,13,357,206,Backend,553,199.11,Backend,816
cmat_mulx_avx_nr_c_7_dot_product_length_14,cmat_mulx_avx,7,14,385,220,Backend,595,221.16,Backend,889
cmat_mulx_avx_nr_c_7_dot_product_length_15,cmat_mulx_avx,7,15,413,234,Backend,637,239,Backend,957
cmat_mulx_avx_nr_c_7_dot_product_length_16,cmat_mulx_avx,7,16,441,266,Backend,679,262.53,Backend,1040
cmat_mulx_avx_nr_c_7_dot_product_length_17,cmat_mulx_avx,7,17,469,262,Backend,721,285,Backend,1122
cmat_mulx_avx_nr_c_7_dot_product_length_18,cmat_mulx_avx,7,18,497,276,Backend,763,310,Backend,1208
cmat_mulx_avx_nr_c_7_dot_product_length_19,cmat_mulx_avx,7,19,525,290,Backend,805,331.05,Backend,1293
cmat_mulx_avx_nr_c_7_dot_product_length_20,cmat_mulx_avx,7,20,553,304,Backend,847,360,Backend,1389
cmat_mulx_avx_nr_c_8_dot_product_length_2,cmat_mulx_avx,8,2,56,31.47,Backend,86,29,Backend,111
cmat_mulx_avx_nr_c_8_dot_product_length_3,cmat_mulx_avx,8,3,88,49,Backend,140,45,Backend,165
cmat_mulx_avx_nr_c_8_dot_product_length_4,cmat_mulx_avx,8,4,120,69,Backend,194,62,Backend,219
cmat_mulx_avx_nr_c_8_dot_product_length_5,cmat_mulx_avx,8,5,152,84,Backend,248,77,Backend,273
cmat_mulx_avx_nr_c_8_dot_product_length_6,cmat_mulx_avx,8,6,184,103,Backend,296,94,Backend,354
cmat_mulx_avx_nr_c_8_dot_product_length_7,cmat_mulx_avx,8,7,216,126,Backend,344,115,Backend,435
cmat_mulx_avx_nr_c_8_dot_product_length_8,cmat_mulx_avx,8,8,248,146.47,Backend,392,133,Backend,516
cmat_mulx_avx_nr_c_8_dot_product_length_9,cmat_mulx_avx,8,9,280,168,Backend,440,153,Backend,597
cmat_mulx_avx_nr_c_8_dot_product_length_10,cmat_mulx_avx,8,10,312,184,Backend,488,170,Backend,676
cmat_mulx_avx_nr_c_8_dot_product_length_11,cmat_mulx_avx,8,11,344,200,Backend,536,187,Backend,759
cmat_mulx_avx_nr_c_8_dot_product_length_12,cmat_mulx_avx,8,12,376,216,Backend,584,207,Backend,840
cmat_mulx_avx_nr_c_8_dot_product_length_13,cmat_mulx_avx,8,13,408,232,Backend,632,224.47,Backend,921
cmat_mulx_avx_nr_c_8_dot_product_length_14,cmat_mulx_avx,8,14,440,248,Backend,680,250,Backend,1001
cmat_mulx_avx_nr_c_8_dot_product_length_15,cmat_mulx_avx,8,15,472,264,Backend,728,270,Backend,1080
cmat_mulx_avx_nr_c_8_dot_product_length_16,cmat_mulx_avx,8,16,504,304,Backend,776,297,Backend,1175
cmat_mulx_avx_nr_c_8_dot_product_length_17,cmat_mulx_avx,8,17,536,296,Backend,824,322,Backend,1269
cmat_mulx_avx_nr_c_8_dot_product_length_18,cmat_mulx_avx,8,18,568,312,Backend,872,348.53,Backend,1365
cmat_mulx_avx_nr_c_8_dot_product_length_19,cmat_mulx_avx,8,19,600,328,Backend,920,374,Backend,1459
cmat_mulx_avx_nr_c_8_dot_product_length_20,cmat_mulx_avx,8,20,632,344,Backend,968,405,Backend,1566
cmat_mulx_avx_nr_c_9_dot_product_length_2,cmat_mulx_avx,9,2,63,36,Backend,99,31.95,Backend,125
cmat_mulx_avx_nr_c_9_dot_product_length_3,cmat_mulx_avx,9,3,99,57,Backend,159,51,Backend,185
cmat_mulx_avx_nr_c_9_dot_product_length_4,cmat_mulx_avx,9,4,135,76,Backend,219,69.47,Backend,245
cmat_mulx_avx_nr_c_9_dot_product_length_5,cmat_mulx_avx,9,5,171,94.53,Backend,279,87.95,Backend,305
cmat_mulx_avx_nr_c_9_dot_product_length_6,cmat_mulx_avx,9,6,207,116,Backend,333,108.05,Backend,395
cmat_mulx_avx_nr_c_9_dot_product_length_7,cmat_mulx_avx,9,7,243,142,Backend,387,129.05,Backend,485
cmat_mulx_avx_nr_c_9_dot_product_length_8,cmat_mulx_avx,9,8,279,165,Backend,441,148,Backend,575
cmat_mulx_avx_nr_c_9_dot_product_length_9,cmat_mulx_avx,9,9,315,192,Backend,495,170.53,Backend,665
cmat_mulx_avx_nr_c_9_dot_product_length_10,cmat_mulx_avx,9,10,351,210,Backend,549,189.05,Backend,753
cmat_mulx_avx_nr_c_9_dot_product_length_11,cmat_mulx_avx,9,11,387,228,Backend,603,209.11,Backend,843
cmat_mulx_avx_nr_c_9_dot_product_length_12,cmat_mulx_avx,9,12,423,246,Backend,657,230.42,Backend,935
cmat_mulx_avx_nr_c_9_dot_product_length_13,cmat_mulx_avx,9,13,459,264,Backend,711,250.47,Backend,1024
cmat_mulx_avx_nr_c_9_dot_product_length_14,cmat_mulx_avx,9,14,495,282,Backend,765,278.11,Backend,1115
cmat_mulx_avx_nr_c_9_dot_product_length_15,cmat_mulx_avx,9,15,531,300,Backend,819,301.05,Backend,1203
cmat_mulx_avx_nr_c_9_dot_product_length_16,cmat_mulx_avx,9,16,567,342,Backend,873,330,Backend,1306
cmat_mulx_avx_nr_c_9_dot_product_length_17,cmat_mulx_avx,9,17,603,336,Backend,927,359.42,Backend,1411
cmat_mulx_avx_nr_c_9_dot_product_length_18,cmat_mulx_avx,9,18,639,354,Backend,981,389,Backend,1519
cmat_mulx_avx_nr_c_9_dot_product_length_19,cmat_mulx_avx,9,19,675,372,Backend,1035,417.05,Backend,1625
cmat_mulx_avx_nr_c_9_dot_product_length_20,cmat_mulx_avx,9,20,711,390,Backend,1089,451.53,Backend,1745
cmat_mulx_avx_nr_c_10_dot_product_length_2,cmat_mulx_avx,10,2,70,40.53,Backend,112,35.68,Backend,139
cmat_mulx_avx_nr_c_10_dot_product_length_3,cmat_mulx_avx,10,3,110,62,Backend,178,57,Backend,205
cmat_mulx_avx_nr_c_10_dot_product_length_4,cmat_mulx_avx,10,4,150,86,Backend,244,77,Backend,271
cmat_mulx_avx_nr_c_10_dot_product_length_5,cmat_mulx_avx,10,5,190,105,Backend,310,98,Backend,337
cmat_mulx_avx_nr_c_10_dot_product_length_6,cmat_mulx_avx,10,6,230,129,Backend,370,117,Backend,436
cmat_mulx_avx_nr_c_10_dot_product_length_7,cmat_mulx_avx,10,7,270,158,Backend,430,144,Backend,535
cmat_mulx_avx_nr_c_10_dot_product_length_8,cmat_mulx_avx,10,8,310,183.53,Backend,490,163,Backend,634
cmat_mulx_avx_nr_c_10_dot_product_length_9,cmat_mulx_avx,10,9,350,210,Backend,550,186,Backend,732
cmat_mulx_avx_nr_c_10_dot_product_length_10,cmat_mulx_avx,10,10,390,230,Backend,610,208,Backend,830
cmat_mulx_avx_nr_c_10_dot_product_length_11,cmat_mulx_avx,10,11,430,250,Backend,670,231,Backend,929
cmat_mulx_avx_nr_c_10_dot_product_length_12,cmat_mulx_avx,10,12,470,270,Backend,730,254,Backend,1030
cmat_mulx_avx_nr_c_10_dot_product_length_13,cmat_mulx_avx,10,13,510,290,Backend,790,277,Backend,1129
cmat_mulx_avx_nr_c_10_dot_product_length_14,cmat_mulx_avx,10,14,550,310,Backend,850,306,Backend,1228
cmat_mulx_avx_nr_c_10_dot_product_length_15,cmat_mulx_avx,10,15,590,330,Backend,910,332,Backend,1324
cmat_mulx_avx_nr_c_10_dot_product_length_16,cmat_mulx_avx,10,16,630,380,Backend,970,364,Backend,1441
cmat_mulx_avx_nr_c_10_dot_product_length_17,cmat_mulx_avx,10,17,670,370,Backend,1030,396,Backend,1556
cmat_mulx_avx_nr_c_10_dot_product_length_18,cmat_mulx_avx,10,18,710,390,Backend,1090,430,Backend,1675
cmat_mulx_avx_nr_c_10_dot_product_length_19,cmat_mulx_avx,10,19,750,410,Backend,1150,460,Backend,1791
cmat_mulx_avx_nr_c_10_dot_product_length_20,cmat_mulx_avx,10,20,790,430,Backend,1210,497.47,Backend,1924
cmat_mulx_avx_nr_c_11_dot_product_length_2,cmat_mulx_avx,11,2,77,45,Backend,125,39.32,Backend,153
cmat_mulx_avx_nr_c_11_dot_product_length_3,cmat_mulx_avx,11,3,121,70,Backend,197,62.05,Backend,225
cmat_mulx_avx_nr_c_11_dot_product_length_4,cmat_mulx_avx,11,4,165,93,Backend,269,84.47,Backend,297
cmat_mulx_avx_nr_c_11_dot_product_length_5,cmat_mulx_avx,11,5,209,115.53,Backend,341,106.95,Backend,369
cmat_mulx_avx_nr_c_11_dot_product_length_6,cmat_mulx_avx,11,6,253,142,Backend,407,131.05,Backend,477
cmat_mulx_avx_nr_c_11_dot_product_length_7,cmat_mulx_avx,11,7,297,174,Backend,473,155.42,Backend,585
cmat_mulx_avx_nr_c_11_dot_product_length_8,cmat_mulx_avx,11,8,341,201.47,Backend,539,179.47,Backend,693
cmat_mulx_avx_nr_c_11_dot_product_length_9,cmat_mulx_avx,11,9,385,234,Backend,605,203,Backend,800
cmat_mulx_avx_nr_c_11_dot_product_length_10,cmat_mulx_avx,11,10,429,256,Backend,671,229,Backend,907
cmat_mulx_avx_nr_c_11_dot_product_length_11,cmat_mulx_avx,11,11,473,278,Backend,737,251.47,Backend,1015
cmat_mulx_avx_nr_c_11_dot_product_length_12,cmat_mulx_avx,11,12,517,300,Backend,803,277.95,Backend,1125
cmat_mulx_avx_nr_c_11_dot_product_length_13,cmat_mulx_avx,11,13,561,322,Backend,869,301.42,Backend,1233
cmat_mulx_avx_nr_c_11_dot_product_length_14,cmat_mulx_avx,11,14,605,344,Backend,935,334.53,Backend,1341
cmat_mulx_avx_nr_c_11_dot_product_length_15,cmat_mulx_avx,11,15,649,366,Backend,1001,363,Backend,1446
cmat_mulx_avx_nr_c_11_dot_product_length_16,cmat_mulx_avx,11,16,693,418,Backend,1067,398,Backend,1572
cmat_mulx_avx_nr_c_11_dot_product_length_17,cmat_mulx_avx,11,17,737,410,Backend,1133,433,Backend,1701
cmat_mulx_avx_nr_c_11_dot_product_length_18,cmat_mulx_avx,11,18,781,432,Backend,1199,468.95,Backend,1830
cmat_mulx_avx_nr_c_11_dot_product_length_19,cmat_mulx_avx,11,19,825,454,Backend,1265,503,Backend,1957
cmat_mulx_avx_nr_c_11_dot_product_length_20,cmat_mulx_avx,11,20,869,476,Backend,1331,545,Backend,2102
cmat_mulx_avx_nr_c_12_dot_product_length_2,cmat_mulx_avx,12,2,84,49.47,Backend,138,43,Backend,167
cmat_mulx_avx_nr_c_12_dot_product_length_3,cmat_mulx_avx,12,3,132,75,Backend,216,68,Backend,245
cmat_mulx_avx_nr_c_12_dot_product_length_4,cmat_mulx_avx,12,4,180,103,Backend,294,92,Backend,323
cmat_mulx_avx_nr_c_12_dot_product_length_5,cmat_mulx_avx,12,5,228,126,Backend,372,117,Backend,401
cmat_mulx_avx_nr_c_12_dot_product_length_6,cmat_mulx_avx,12,6,276,155,Backend,444,140,Backend,518
cmat_mulx_avx_nr_c_12_dot_product_length_7,cmat_mulx_avx,12,7,324,190,Backend,516,169,Backend,635
cmat_mulx_avx_nr_c_12_dot_product_length_8,cmat_mulx_avx,12,8,372,220,Backend,588,195,Backend,752
cmat_mulx_avx_nr_c_12_dot_product_length_9,cmat_mulx_avx,12,9,420,252,Backend,660,221,Backend,868
cmat_mulx_avx_nr_c_12_dot_product_length_10,cmat_mulx_avx,12,10,468,276,Backend,732,248,Backend,984
cmat_mulx_avx_nr_c_12_dot_product_length_11,cmat_mulx_avx,12,11,516,300,Backend,804,273,Backend,1101
cmat_mulx_avx_nr_c_12_dot_product_length_12,cmat_mulx_avx,12,12,564,324,Backend,876,301,Backend,1220
cmat_mulx_avx_nr_c_12_dot_product_length_13,cmat_mulx_avx,12,13,612,348,Backend,948,328,Backend,1337
cmat_mulx_avx_nr_c_12_dot_product_length_14,cmat_mulx_avx,12,14,660,372,Backend,1020,365,Backend,1454
cmat_mulx_avx_nr_c_12_dot_product_length_15,cmat_mulx_avx,12,15,708,396,Backend,1092,394.47,Backend,1569
cmat_mulx_avx_nr_c_12_dot_product_length_16,cmat_mulx_avx,12,16,756,456,Backend,1164,432,Backend,1707
cmat_mulx_avx_nr_c_12_dot_product_length_17,cmat_mulx_avx,12,17,804,444,Backend,1236,470,Backend,1844
cmat_mulx_avx_nr_c_12_dot_product_length_18,cmat_mulx_avx,12,18,852,468,Backend,1308,509,Backend,1986
cmat_mulx_avx_nr_c_12_dot_product_length_19,cmat_mulx_avx,12,19,900,492,Backend,1380,546,Backend,2123
cmat_mulx_avx_nr_c_12_dot_product_length_20,cmat_mulx_avx,12,20,948,516,Backend,1452,591,Backend,2279
cmat_mulx_avx_nr_c_13_dot_product_length_2,cmat_mulx_avx,13,2,91,54,Backend,151,46.53,Backend,181
cmat_mulx_avx_nr_c_13_dot_product_length_3,cmat_mulx_avx,13,3,143,83,Backend,235,73.05,Backend,265
cmat_mulx_avx_nr_c_13_dot_product_length_4,cmat_mulx_avx,13,4,195,110,Backend,319,98.53,Backend,349
cmat_mulx_avx_nr_c_13_dot_product_length_5,cmat_mulx_avx,13,5,247,136.53,Backend,403,125.95,Backend,433
cmat_mulx_avx_nr_c_13_dot_product_length_6,cmat_mulx_avx,13,6,299,168,Backend,481,154.05,Backend,559
cmat_mulx_avx_nr_c_13_dot_product_length_7,cmat_mulx_avx,13,7,351,206,Backend,559,184.58,Backend,685
cmat_mulx_avx_nr_c_13_dot_product_length_8,cmat_mulx_avx,13,8,403,238.53,Backend,637,211.47,Backend,811
cmat_mulx_avx_nr_c_13_dot_product_length_9,cmat_mulx_avx,13,9,455,276,Backend,715,238,Backend,936
cmat_mulx_avx_nr_c_13_dot_product_length_10,cmat_mulx_avx,13,10,507,302,Backend,793,267.53,Backend,1061
cmat_mulx_avx_nr_c_13_dot_product_length_11,cmat_mulx_avx,13,11,559,328,Backend,871,294.95,Backend,1187
cmat_mulx_avx_nr_c_13_dot_product_length_12,cmat_mulx_avx,13,12,611,354,Backend,949,324.37,Backend,1315
cmat_mulx_avx_nr_c_13_dot_product_length_13,cmat_mulx_avx,13,13,663,380,Backend,1027,352.47,Backend,1441
cmat_mulx_avx_nr_c_13_dot_product_length_14,cmat_mulx_avx,13,14,715,406,Backend,1105,391.95,Backend,1567
cmat_mulx_avx_nr_c_13_dot_product_length_15,cmat_mulx_avx,13,15,767,432,Backend,1183,426.05,Backend,1691
cmat_mulx_avx_nr_c_13_dot_product_length_16,cmat_mulx_avx,13,16,819,494,Backend,1261,466.53,Backend,1839
cmat_mulx_avx_nr_c_13_dot_product_length_17,cmat_mulx_avx,13,17,871,484,Backend,1339,506.95,Backend,1988
cmat_mulx_avx_nr_c_13_dot_product_length_18,cmat_mulx_avx,13,18,923,510,Backend,1417,549.58,Backend,2140
